Text,Value
seriesdescription,SERIES
geoarea,REF_AREA
area,REF_AREA
sex,SEX
age,AGE
urbanisation,URBANISATION
urbanization,URBANISATION
education-level,EDUCATION_LEV
occupation,OCCUPATION
disability-status,DISABILITY_STATUS
comp-breakdown,COMPOSITE_BREAKDOWN
wealth-quintile,INCOME_WEALTH_QUANTILE
unit,UNIT_MEASURE
scale,UNIT_MULT
sériedescrição,SERIES
província,REF_AREA
sexo,SEX
idade,AGE
área-de-residência,URBANISATION
nível-de-educação,EDUCATION_LEV
ocupação,OCCUPATION
deficiência,DISABILITY_STATUS
composição-composta,COMPOSITE_BREAKDOWN
quintil,INCOME_WEALTH_QUANTILE
indicador-disponível,REPORTING_TYPE
