Indicator,Disaggregation combinations using this value
#1-1-1,17
#1-2-1,48
#1-2-2,17
#1-3-1,5
#1-5-1,4
#1-5-2,1
#1-a-2,12
#1-a-MZ_1,6
#10-2-1,5
#10-4-1,6
#11-5-2,1
#14-5-1,1
#16-3-2,1
#16-3-MZ_1,1
#16-3-MZ_2,1
#16-3-MZ_3,1
#16-4-MZ_1,5
#16-9-1,37
#17-1-1,21
#17-1-2,3
#17-13-1,4
#17-3-2,1
#17-3-MZ_1,1
#17-8-1,18
#2-1-MZ_1,1
#2-1-MZ_2,2
#2-2-1,14
#2-2-2,28
#2-4-MZ_1,2
#2-5-1,15
#2-5-2,1
#2-a-MZ_1,4
#3-1-1,2
#3-1-2,28
#3-2-1,2
#3-2-2,1
#3-2-MZ_1,2
#3-3-1,1
#3-3-3,5
#3-4-1,2
#3-7-1,28
#3-a-1,1
#3-b-1,1
#3-c-1,5
#4-1-MZ_1,6
#4-1-MZ_2,120
#4-1-MZ_3,140
#4-1-MZ_4,168
#4-1-MZ_5,70
#4-3-MZ_1,1
#4-3-MZ_2,1
#4-3-MZ_3,1
#4-3-MZ_4,1
#4-3-MZ_5,1
#4-4-1,1
#4-5-1,72
#4-6-MZ_2,1
#4-6-MZ_3,1
#4-a-MZ_1,48
#4-a-MZ_2,60
#4-c-1,36
#4-c-MZ_1,1
#5-2-1,91
#5-2-2,1
#5-3-1,1
#5-5-1,1
#5-b-1,16
#6-1-1,28
#6-2-1,28
#6-3-MZ_1,5
#6-4-1,3
#6-5-1,1
#6-b-1,3
#7-1-1,28
#8-1-1,4
#8-10-1,12
#8-10-MZ_1,3
#8-5-2,6
#8-8-MZ_1,15
#8-8-MZ_2,5
#8-9-1,1
#9-1-2,44
#9-2-1,6
#9-2-2,3
#9-5-1,3
#9-5-2,3
