Value,Disaggregation combinations using this value,Number of indicators
BX_TRF_PWKR,1,1
D1,8,1
D10,4,1
D11,6,1
D12,1,1
D13,2,1
D14,2,1
D15,4,1
D16,2,1
D17,10,1
D18,30,1
D19,36,1
D2,8,1
D20,15,1
D21,2,2
D22,1,1
D23,1,1
D24,1,1
D25,1,1
D26,1,1
D27,4,1
D28,5,1
D29,1,1
D3,8,1
D30,5,1
D31,15,1
D32,5,1
D33,3,1
D35,1,1
D36,1,1
D37,1,1
D38,5,1
D39,1,1
D41,5,1
D42,6,1
D9,1,1
EG_ACS_ELEC,6,1
ER_GRF_ANIMRCNTN,5,1
ER_GRF_PLNTSTOR,5,1
ER_H2O_IWRMD,1,1
ER_H2O_WUEYST,3,1
ER_MRN_MARIN,1,1
ER_RSK_LBREDS,1,1
ER_WAT_PROCED,3,1
FB_ATM_TOTL,3,1
FB_CBK_BRCH,9,1
GB_POP_SCIERD,3,1
GB_XPD_RSDV,3,1
GC_GOB_TAXD,3,1
GR_G14_GDP,21,1
IS_RDP_FRGVOL,24,1
IS_RDP_PFVOL,20,1
IT_MOB_OWN,5,1
IT_USE_II99,18,1
NV_IND_MANF,6,1
NY_GDP_PCAP,4,1
SD_MDP_MUHC,30,1
SD_XPD_ESED,12,1
SE_ADT_ACTS,1,1
SE_GPI_PART,6,1
SE_TRA_GRDL,36,1
SG_GEN_PARLN,1,1
SG_REG_BRTH,19,1
SH_DTH_NCOM,2,1
SH_DYN_MORT,2,1
SH_DYN_NMRT,1,1
SH_FPL_MTMM,6,1
SH_H2O_SAFE,6,1
SH_HIV_INCD,1,1
SH_MED_HEAWOR,5,1
SH_PRV_SMOK,1,1
SH_SAN_SAFE,6,1
SH_STA_BRTC,6,1
SH_STA_MALR,5,1
SH_STA_MORT,2,1
SH_STA_STNT,3,1
SH_STA_WAST,3,1
SI_COV_BENFTS,5,1
SI_POV_50MI,18,1
SI_POV_DAY1,30,1
SI_POV_NAHC,33,1
SL_EMP_GTOTL,6,1
SL_TLF_MANF,3,1
SL_TLF_NEET,3,1
SL_TLF_UEM,72,1
SN_STA_OVWGT,3,1
SP_DYN_ADKL,3,1
SP_DYN_MRBF15,1,1
SP_DYN_MRBF18,1,1
ST_GDP_ZS,1,1
VC_DSR_CILN,1,1
VC_DSR_LSGP,1,1
VC_DSR_MTMP,4,1
VC_PRS_UNSEC,1,1
VC_VAW_MARR,8,1
VC_VAW_NONMARR,1,1
VC_VAW_PHYV,8,1
VC_VAW_PSYV,8,1
VC_VAW_SEXV,8,1
